CRS,REGIA_SAU,MUNICIPIO,TOTAL_VAC,TRAB_SAUDE_40,INDIGENAS,MAIOR_60,TOTAL_VAC
1º CRS,ARAGUAIA,AGUA AZUL DO NORTE,115,27,0,5,32
3ºCRS,ARAGUAIA,BANNACH,126,48,41,15,104
4º CRS,ARAGUAIA,CONCEICAO DO ARAGUAIA,498,23,0,0,23
4º CRS,ARAGUAIA,CUMARU DO NORTE,851,65,10,23,98
5ºCRS,ARAGUAIA,FLORESTA DO ARAGUAIA,132,20,0,0,20
9º CRS,ARAGUAIA,OURILANDIA DO NORTE,1205,30,396,0,426
9º CRS,ARAGUAIA,PAU D'ARCO,237,46,30,0,76
10º CRS,ARAGUAIA,REDENCAO,765,16,23,0,39
10º CRS,ARAGUAIA,RIO MARIA,124,50,0,0,50
11º CRS,ARAGUAIA,SANTA MARIA DAS BARREIRAS,128,40,0,0,40
11º CRS,ARAGUAIA,SANTANA DO ARAGUAIA,234,41,14,0,55
11º CRS,ARAGUAIA,SAO FELIX DO XINGU,1115,51,338,0,389
12ºCRS,ARAGUAIA,SAPUCAIA,62,18,0,1,19
12ºCRS,ARAGUAIA,TUCUMA,334,12,0,0,12
13º CRS,ARAGUAIA,XINGUARA,363,35,0,8,43
2º CRS,BAIXO AMAZONAS,ALENQUER,257,45,0,0,45
2º CRS,BAIXO AMAZONAS,ALMEIRIM,260,19,38,0,57
3ºCRS,BAIXO AMAZONAS,BELTERRA,413,31,0,0,31
5ºCRS,BAIXO AMAZONAS,CURUA,48,10,0,0,10
5ºCRS,BAIXO AMAZONAS,FARO,87,37,0,0,37
7ºCRS,BAIXO AMAZONAS,JURUTI,306,26,0,0,26
8º CRS,BAIXO AMAZONAS,MOJUI DOS CAMPOS,72,43,0,0,43
9º CRS,BAIXO AMAZONAS,MONTE ALEGRE,218,64,0,0,64
9º CRS,BAIXO AMAZONAS,OBIDOS,421,27,81,0,108
9º CRS,BAIXO AMAZONAS,ORIXIMINA,1780,18,653,0,671
9º CRS,BAIXO AMAZONAS,PLACAS,111,20,0,0,20
10º CRS,BAIXO AMAZONAS,PRAINHA,123,24,0,0,24
11º CRS,BAIXO AMAZONAS,SANTAREM,6475,396,1727,0,2123
